Domande,Risposte
Dove si trova il MAO?,"Via San Domenico, 9-11, Torino (TO)"
A che ora apre il Museo Egizio?,"Lunedì 9:00-14:00, da Martedì a Domenica 9:00-18:30"
Dove si trova il Museo del Cinema?,Il Museo Nazionale del Cinema è ospitato all'interno della Mole Antonelliana
Dove si trovano i Musei Reali?,"I Musei Reali si trovano in centro città, per oltre 50.000 metri quadratu"
Quanti musei ci sono a Torino?,A Torino sono presenti oltre 50 musei
Mi dici qualche museo di arte antica?,"Certo! La Galleria Sabauda, il MAO, il Museo Civico di Arte Antica"
Mi parli della sala della realtà virtuale nel museo del cinema?,"nell’Aula de Tempio c’è CineVR, l’area dedicata alla realtà virtuale, la prima sala cinematografica italiana permanente completamente dedicata al VR"
A che ora apre la biblioteca reale?,"La Biblioteca Reale è aperta da lunedì a venerdì dalle 8 alle 19, sabato dalle 8 alle 14."
Qual è l'indirizzo della Galleria Sabauda?,"Via XX Settembre, 86 - Torino"
A che ora apre il MAUTO?,Apre tutti i giorni alle 10:00.
